NAME,MAP,SENSOR,PROD,ALG,PERIOD,PERIOD_CODE,MATH,UNITS,MTIME_FILE,MTIME_SUBAREA,REGION,SUBAREA,N_SUBAREA,N,MEAN,VAR,SKEW
M_200402-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200402,M,STATS,oC,1568065789,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,4.306947921676426,0.6001057945087708,-0.7964206442530218
M_200402-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200402,M,STATS,oC,1568065789,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,2.790617835835014,0.7711773930557319,0.3404711793585453
M_200402-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200402,M,STATS,oC,1568065789,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,4.529888098093698,1.672926242990975,1.231783738006901
M_200403-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200403,M,STATS,oC,1568066584,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,5.913536506857151,3.256706662394862,1.117852757871021
M_200403-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200403,M,STATS,oC,1568066584,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,3.140473118735829,0.9940157547927337,0.03454906459135979
M_200403-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200403,M,STATS,oC,1568066584,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,1.858183412028195,1.010136493257941,0.6753431198997782
M_200403-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200403,M,STATS,oC,1568066584,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,4.356600911459833,0.8043757709342082,1.832076276544013
M_200404-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200404,M,STATS,oC,1568067412,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,7.497942826093817,2.700234002544455,1.241044399396825
M_200404-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200404,M,STATS,oC,1568067412,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,4.077857369357901,0.5715626937885084,-0.08116181071929528
M_200404-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200404,M,STATS,oC,1568067412,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,3.068703797727626,0.5921532831688998,0.5264724222529406
M_200404-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200404,M,STATS,oC,1568067412,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,5.263951325281611,0.3610884785517294,1.253007177943327
M_200405-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200405,M,STATS,oC,1568068382,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,13.84223507265653,6.675392459606744,0.6231350725651474
M_200405-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200405,M,STATS,oC,1568068382,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,7.444648856241663,1.280336700800843,-0.2048512577469645
M_200405-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200405,M,STATS,oC,1568068382,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,5.504000932910714,0.5333685967719203,0.8539375311963816
